2500,0.001600,0.000000,0.008000
5000,0.000200,0.000000,0.001000
7500,0.003200,0.000000,0.016000
10000,0.000000,0.000000,0.000000
12500,0.006200,0.000000,0.016000
15000,0.003200,0.000000,0.016000
17500,0.003200,0.000000,0.016000
20000,0.006200,0.000000,0.016000
22500,0.006200,0.000000,0.016000
25000,0.000000,0.000000,0.000000
27500,0.006600,0.000000,0.017000
30000,0.009400,0.000000,0.016000
32500,0.007600,0.000000,0.016000
35000,0.009600,0.000000,0.016000
37500,0.004600,0.000000,0.016000
40000,0.009400,0.000000,0.016000
42500,0.007600,0.000000,0.016000
45000,0.009400,0.000000,0.016000
47500,0.009400,0.000000,0.016000
50000,0.012400,0.000000,0.016000
52500,0.015600,0.015000,0.016000
55000,0.015600,0.015000,0.016000
57500,0.015600,0.015000,0.016000
60000,0.015600,0.015000,0.016000
62500,0.015600,0.015000,0.016000
65000,0.015600,0.015000,0.016000
67500,0.012400,0.000000,0.016000
70000,0.015600,0.015000,0.016000
72500,0.012600,0.000000,0.016000
75000,0.015400,0.015000,0.016000
77500,0.015600,0.015000,0.016000
80000,0.015600,0.015000,0.016000
82500,0.018600,0.015000,0.031000
85000,0.018800,0.015000,0.032000
87500,0.020200,0.015000,0.032000
90000,0.020000,0.015000,0.031000
92500,0.017000,0.015000,0.023000
95000,0.021800,0.015000,0.031000
97500,0.021800,0.015000,0.032000
100000,0.021800,0.015000,0.032000
