250000,0.040200,0.031000,0.047000
500000,0.084600,0.078000,0.094000
750000,0.135600,0.125000,0.141000
1000000,0.197000,0.187000,0.204000
1250000,0.247000,0.235000,0.250000
1500000,0.312400,0.312000,0.313000
1750000,0.388600,0.375000,0.396000
2000000,0.462200,0.453000,0.469000
2250000,0.548400,0.532000,0.594000
2500000,0.657200,0.640000,0.672000
2750000,0.759000,0.749000,0.781000
3000000,0.854000,0.812000,0.896000
3250000,0.928600,0.890000,0.988000
3500000,1.000600,0.999000,1.005000
3750000,1.111000,1.109000,1.114000
4000000,1.222400,1.218000,1.234000
4250000,1.335200,1.328000,1.344000
4500000,1.526400,1.457000,1.640000
4750000,1.595600,1.583000,1.613000
5000000,1.729200,1.718000,1.749000
5250000,1.864000,1.859000,1.875000
5500000,1.998200,1.988000,2.015000
5750000,2.154400,2.140000,2.171000
6000000,2.301400,2.296000,2.312000
6250000,2.452200,2.442000,2.457000
6500000,2.611200,2.608000,2.613000
6750000,2.776800,2.765000,2.785000
7000000,2.952200,2.942000,2.957000
7250000,3.133200,3.124000,3.145000
7500000,3.383600,3.312000,3.661000
7750000,3.496600,3.487000,3.505000
8000000,3.687400,3.676000,3.692000
8250000,3.893800,3.864000,3.958000
8500000,4.119800,4.081000,4.171000
8750000,4.303000,4.269000,4.406000
9000000,4.483800,4.472000,4.503000
9250000,4.696400,4.687000,4.707000
9500000,4.923000,4.910000,4.929000
9750000,5.157000,5.129000,5.229000
10000000,5.366000,5.347000,5.378000
