2500,0.022800,0.022000,0.025000
5000,0.088000,0.087000,0.090000
7500,0.191000,0.178000,0.210000
10000,0.334000,0.327000,0.341000
12500,0.516200,0.507000,0.529000
15000,0.749200,0.743000,0.759000
17500,1.007000,1.001000,1.014000
20000,1.315600,1.308000,1.322000
22500,1.665200,1.662000,1.667000
25000,2.052800,2.047000,2.059000
27500,2.480200,2.478000,2.484000
30000,2.962200,2.944000,3.010000
32500,3.466800,3.462000,3.476000
35000,4.017800,4.014000,4.021000
37500,4.613200,4.606000,4.620000
40000,5.242400,5.239000,5.245000
42500,5.955600,5.924000,6.003000
45000,6.647000,6.626000,6.689000
47500,7.392400,7.390000,7.395000
50000,8.622600,8.185000,9.906000
52500,10.111400,9.276000,11.202000
55000,10.678801,10.147000,11.642000
57500,12.548800,10.923000,13.822000
60000,12.117399,11.842000,12.599000
62500,12.890201,12.804000,13.217000
65000,13.876200,13.839000,13.923000
67500,14.932001,14.921000,14.939000
70000,16.066401,16.061001,16.079000
72500,17.324600,17.207001,17.662001
75000,18.444599,18.430000,18.459000
77500,19.700600,19.674000,19.747000
80000,21.071999,20.990000,21.135000
82500,22.333799,22.313999,22.346001
85000,23.859400,23.718000,24.240999
87500,25.145802,25.125000,25.183001
90000,26.605402,26.579000,26.618999
92500,28.105398,28.072001,28.149000
95000,29.631399,29.618000,29.643000
97500,31.214199,31.191000,31.231001
100000,32.861198,32.813999,32.917000
